scenario_id,plan_id,metric,value
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,total_cost_mln,14979.832797
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,pv_cost_mln,11828.867092
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,discount_rate_real,0.080000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,demand_total_t,1534.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,served_total_t,1533.133625
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,served_critical_t,1044.500000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,shortage_total_t,0.866375
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,shortage_critical_t,0.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,cost_per_served_t_mln,9.770729
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,pv_cost_per_served_t_mln,7.715483
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,min_service_level_total,0.996987
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,min_service_level_critical,1.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,losses_total_t,31.222943
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,throughput_total_t,1599.476700
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,capex_total_mln,1430.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,procurement_total_mln,12580.313198
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,reservation_total_mln,585.029820
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,holding_total_mln,132.489779
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,fixed_opex_total_mln,252.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,take_or_pay_idle_t,0.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,take_or_pay_topup_mln,0.000000
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,opening_inventory_t,12.328859
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,closing_inventory_t,47.448991
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,prep_holding_mln,0.369866
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,prep_holding_months,1
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,hard_violations,1
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,guideline_violations,0
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,warnings,0
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,feasible,False
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,checks_total,92
TEAM_TRAJ_T2_NO_RECOVERY,P3_isru_zbo_policy_T2_no_recovery,checks_passed,91
