plan_id,scenario_id,feasible,hard_violations,guideline_violations,total_cost_mln,pv_cost_mln,cost_per_served_t_mln,pv_cost_per_served_t_mln,capex_total_mln,procurement_total_mln,reservation_total_mln,holding_total_mln,fixed_opex_total_mln,served_total_t,shortage_total_t,shortage_critical_t,min_sl_total,min_sl_critical,losses_total_t,take_or_pay_idle_t,violations,experiment,trajectory,policy
P3_isru_zbo,TEAM_TRAJ_T1_MANDATORY_STRESS,False,3,3,11285.0693,9119.1702,8.2736,6.6857,1430.0000,8970.4766,585.0298,47.5629,252.0000,1363.9826,170.0174,0.0000,0.8125,1.0000,28.5922,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-14,T1 обязательный стресс (сценарий организатора),без реакции (эталон)
P3_isru_zbo_policy_T1_mandatory_stress,TEAM_TRAJ_T1_MANDATORY_STRESS,False,1,0,14044.8469,11176.0415,9.1609,7.2897,1430.0000,11640.9856,585.0298,136.8315,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.3183,0.0000,RESERVE_45D@2038,EXP-14,T1 обязательный стресс (сценарий организатора),политика по наблюдениям
P3_isru_zbo_full_info_T1_mandatory_stress,TEAM_TRAJ_T1_MANDATORY_STRESS,False,1,0,14060.5827,11187.0854,9.1711,7.2969,1430.0000,11658.3198,585.0298,135.2331,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.3183,0.0000,RESERVE_45D@2038,EXP-14,T1 обязательный стресс (сценарий организатора),то же правило со знанием будущего
P3_isru_zbo,TEAM_TRAJ_T2_NO_RECOVERY,False,3,3,11285.0693,9119.1702,8.7691,7.0861,1430.0000,8970.4766,585.0298,47.5629,252.0000,1286.9186,247.0814,0.0000,0.7480,1.0000,27.6562,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-14,T2 без восстановления ISRU,без реакции (эталон)
P3_isru_zbo_policy_T2_no_recovery,TEAM_TRAJ_T2_NO_RECOVERY,False,1,0,14979.8328,11828.8671,9.7707,7.7155,1430.0000,12580.3132,585.0298,132.4898,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.2229,0.0000,RESERVE_45D@2038,EXP-14,T2 без восстановления ISRU,политика по наблюдениям
P3_isru_zbo_full_info_T2_no_recovery,TEAM_TRAJ_T2_NO_RECOVERY,False,1,0,14979.8328,11828.8671,9.7707,7.7155,1430.0000,12580.3132,585.0298,132.4898,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.2229,0.0000,RESERVE_45D@2038,EXP-14,T2 без восстановления ISRU,то же правило со знанием будущего
P3_isru_zbo,TEAM_TRAJ_T3_SLOW_RECOVERY,False,3,3,11285.0693,9119.1702,8.4951,6.8647,1430.0000,8970.4766,585.0298,47.5629,252.0000,1328.4146,205.5854,0.0000,0.7803,1.0000,28.1602,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-14,T3 медленное восстановление ISRU,без реакции (эталон)
P3_isru_zbo_policy_T3_slow_recovery,TEAM_TRAJ_T3_SLOW_RECOVERY,False,1,0,14515.6835,11504.1045,9.4680,7.5037,1430.0000,12112.7222,585.0298,135.9315,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.3183,0.0000,RESERVE_45D@2038,EXP-14,T3 медленное восстановление ISRU,политика по наблюдениям
P3_isru_zbo_full_info_T3_slow_recovery,TEAM_TRAJ_T3_SLOW_RECOVERY,False,1,0,14520.0519,11507.3347,9.4708,7.5058,1430.0000,12117.8538,585.0298,135.1682,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.3183,0.0000,RESERVE_45D@2038,EXP-14,T3 медленное восстановление ISRU,то же правило со знанием будущего
P3_isru_zbo,TEAM_TRAJ_T4_FAST_RECOVERY,False,3,3,11285.0693,9119.1702,8.1671,6.5996,1430.0000,8970.4766,585.0298,47.5629,252.0000,1381.7666,152.2334,0.0000,0.8521,1.0000,28.8082,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-14,T4 быстрое восстановление ISRU,без реакции (эталон)
P3_isru_zbo_policy_T4_fast_recovery,TEAM_TRAJ_T4_FAST_RECOVERY,False,1,0,13845.5069,11029.5422,9.0309,7.1941,1430.0000,11440.7356,585.0298,137.7415,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.3183,0.0000,RESERVE_45D@2038,EXP-14,T4 быстрое восстановление ISRU,политика по наблюдениям
P3_isru_zbo_full_info_T4_fast_recovery,TEAM_TRAJ_T4_FAST_RECOVERY,False,1,0,13852.3599,11034.5467,9.0353,7.1974,1430.0000,11449.7917,585.0298,135.5385,252.0000,1533.1336,0.8664,0.0000,0.9970,1.0000,31.3183,0.0000,RESERVE_45D@2038,EXP-14,T4 быстрое восстановление ISRU,то же правило со знанием будущего
