scenario_id,plan_id,rule_id,year,metric,actual,limit,operator,ok,severity,scope
BASE,P1_earth_only,BASE_CRITICAL_SERVICE,2035,critical_service_level,1.000000,0.990000,>=,True,hard,
BASE,P1_earth_only,BASE_CRITICAL_SERVICE,2036,critical_service_level,1.000000,0.990000,>=,True,hard,
BASE,P1_earth_only,BASE_CRITICAL_SERVICE,2037,critical_service_level,1.000000,0.990000,>=,True,hard,
BASE,P1_earth_only,BASE_CRITICAL_SERVICE,2038,critical_service_level,1.000000,0.990000,>=,True,hard,
BASE,P1_earth_only,BASE_CRITICAL_SERVICE,2039,critical_service_level,1.000000,0.990000,>=,True,hard,
BASE,P1_earth_only,BASE_CRITICAL_SERVICE,2040,critical_service_level,1.000000,0.990000,>=,True,hard,
BASE,P1_earth_only,BASE_TOTAL_SERVICE,2035,total_service_level,1.000000,0.970000,>=,True,hard,
BASE,P1_earth_only,BASE_TOTAL_SERVICE,2036,total_service_level,1.000000,0.970000,>=,True,hard,
BASE,P1_earth_only,BASE_TOTAL_SERVICE,2037,total_service_level,1.000000,0.970000,>=,True,hard,
BASE,P1_earth_only,BASE_TOTAL_SERVICE,2038,total_service_level,1.000000,0.970000,>=,True,hard,
BASE,P1_earth_only,BASE_TOTAL_SERVICE,2039,total_service_level,1.000000,0.970000,>=,True,hard,
BASE,P1_earth_only,BASE_TOTAL_SERVICE,2040,total_service_level,0.749878,0.970000,>=,False,hard,
BASE,P1_earth_only,CAPEX_2037,2035,cumulative_capex,0.000000,1800.000000,<=,True,hard,through_2037
BASE,P1_earth_only,CAPEX_2037,2036,cumulative_capex,0.000000,1800.000000,<=,True,hard,through_2037
BASE,P1_earth_only,CAPEX_2037,2037,cumulative_capex,0.000000,1800.000000,<=,True,hard,through_2037
BASE,P1_earth_only,CAPEX_2040,2035,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
BASE,P1_earth_only,CAPEX_2040,2036,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
BASE,P1_earth_only,CAPEX_2040,2037,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
BASE,P1_earth_only,CAPEX_2040,2038,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
BASE,P1_earth_only,CAPEX_2040,2039,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
BASE,P1_earth_only,CAPEX_2040,2040,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
BASE,P1_earth_only,RESERVE_45D,2035,opening_stock_vs_45d_reserve_t,12.328859,12.328767,>=,True,hard,physical
BASE,P1_earth_only,RESERVE_45D,2036,opening_stock_vs_45d_reserve_t,17.260439,17.260274,>=,True,hard,physical
BASE,P1_earth_only,RESERVE_45D,2037,opening_stock_vs_45d_reserve_t,23.424908,23.424658,>=,True,hard,physical
BASE,P1_earth_only,RESERVE_45D,2038,opening_stock_vs_45d_reserve_t,30.822262,30.821918,>=,True,hard,physical
BASE,P1_earth_only,RESERVE_45D,2039,opening_stock_vs_45d_reserve_t,39.452402,39.452055,>=,True,hard,physical
BASE,P1_earth_only,RESERVE_45D,2040,opening_stock_vs_45d_reserve_t,5.952401,48.082192,>=,False,hard,physical
BASE,P1_earth_only,EMERGENCY_BASE_STREAK,2035,emergency_share_of_demand,0.000000,0.200000,<= (иначе год считается базовым для Emergency),True,hard,не более 2 базовых лет подряд
BASE,P1_earth_only,EMERGENCY_BASE_STREAK,2036,emergency_share_of_demand,0.000000,0.200000,<= (иначе год считается базовым для Emergency),True,hard,не более 2 базовых лет подряд
BASE,P1_earth_only,EMERGENCY_BASE_STREAK,2037,emergency_share_of_demand,0.000000,0.200000,<= (иначе год считается базовым для Emergency),True,hard,не более 2 базовых лет подряд
BASE,P1_earth_only,EMERGENCY_BASE_STREAK,2038,emergency_share_of_demand,0.000000,0.200000,<= (иначе год считается базовым для Emergency),True,hard,не более 2 базовых лет подряд
BASE,P1_earth_only,EMERGENCY_BASE_STREAK,2039,emergency_share_of_demand,0.000000,0.200000,<= (иначе год считается базовым для Emergency),True,hard,не более 2 базовых лет подряд
BASE,P1_earth_only,EMERGENCY_BASE_STREAK,2040,emergency_share_of_demand,0.000000,0.200000,<= (иначе год считается базовым для Emergency),True,hard,не более 2 базовых лет подряд
BASE,P1_earth_only,STORAGE_OVERFLOW,2035,max_end_of_month_stock_t,17.260439,70.000000,<=,True,hard,monthly
BASE,P1_earth_only,CAPACITY_EXCEEDED,2035,reserved_A_t_per_year,109.876000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2035,ordered_A_t,109.876000,109.876000,<=,True,hard,Earth-Core
BASE,P1_earth_only,LEAD_TIME_VIOLATED,2035,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,SOURCE_NOT_AVAILABLE,2035,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,STORAGE_OVERFLOW,2036,max_end_of_month_stock_t,23.424908,70.000000,<=,True,hard,monthly
BASE,P1_earth_only,CAPACITY_EXCEEDED,2036,reserved_A_t_per_year,153.052000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2036,ordered_A_t,153.051800,153.052000,<=,True,hard,Earth-Core
BASE,P1_earth_only,LEAD_TIME_VIOLATED,2036,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,SOURCE_NOT_AVAILABLE,2036,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,STORAGE_OVERFLOW,2037,max_end_of_month_stock_t,30.822262,70.000000,<=,True,hard,monthly
BASE,P1_earth_only,CAPACITY_EXCEEDED,2037,reserved_A_t_per_year,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2037,ordered_A_t,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,CAPACITY_EXCEEDED,2037,reserved_B_t_per_year,16.699000,110.000000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2037,ordered_B_t,16.698800,16.699000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,LEAD_TIME_VIOLATED,2037,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,SOURCE_NOT_AVAILABLE,2037,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,STORAGE_OVERFLOW,2038,max_end_of_month_stock_t,39.452402,70.000000,<=,True,hard,monthly
BASE,P1_earth_only,CAPACITY_EXCEEDED,2038,reserved_A_t_per_year,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2038,ordered_A_t,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,CAPACITY_EXCEEDED,2038,reserved_B_t_per_year,80.817000,110.000000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2038,ordered_B_t,80.816900,80.817000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,LEAD_TIME_VIOLATED,2038,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,SOURCE_NOT_AVAILABLE,2038,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,STORAGE_OVERFLOW,2039,max_end_of_month_stock_t,36.660735,70.000000,<=,True,hard,monthly
BASE,P1_earth_only,CAPACITY_EXCEEDED,2039,reserved_A_t_per_year,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2039,ordered_A_t,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,CAPACITY_EXCEEDED,2039,reserved_B_t_per_year,110.000000,110.000000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2039,ordered_B_t,110.000000,110.000000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,LEAD_TIME_VIOLATED,2039,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,SOURCE_NOT_AVAILABLE,2039,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,STORAGE_OVERFLOW,2040,max_end_of_month_stock_t,0.000000,70.000000,<=,True,hard,monthly
BASE,P1_earth_only,CAPACITY_EXCEEDED,2040,reserved_A_t_per_year,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2040,ordered_A_t,190.000000,190.000000,<=,True,hard,Earth-Core
BASE,P1_earth_only,CAPACITY_EXCEEDED,2040,reserved_B_t_per_year,110.000000,110.000000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,ORDER_EXCEEDS_RESERVATION,2040,ordered_B_t,110.000000,110.000000,<=,True,hard,Earth-Flex
BASE,P1_earth_only,LEAD_TIME_VIOLATED,2040,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
BASE,P1_earth_only,SOURCE_NOT_AVAILABLE,2040,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
