scenario_id,plan_id,metric,value
BASE,P1_earth_only,total_cost_mln,9879.841679
BASE,P1_earth_only,pv_cost_mln,7857.749853
BASE,P1_earth_only,discount_rate_real,0.080000
BASE,P1_earth_only,demand_total_t,1390.000000
BASE,P1_earth_only,served_total_t,1292.452401
BASE,P1_earth_only,served_critical_t,950.000000
BASE,P1_earth_only,shortage_total_t,97.547599
BASE,P1_earth_only,shortage_critical_t,0.000000
BASE,P1_earth_only,cost_per_served_t_mln,7.644260
BASE,P1_earth_only,pv_cost_per_served_t_mln,6.079721
BASE,P1_earth_only,min_service_level_total,0.749878
BASE,P1_earth_only,min_service_level_critical,1.000000
BASE,P1_earth_only,losses_total_t,60.319958
BASE,P1_earth_only,throughput_total_t,1340.443500
BASE,P1_earth_only,capex_total_mln,0.000000
BASE,P1_earth_only,procurement_total_mln,9282.939310
BASE,P1_earth_only,reservation_total_mln,509.881470
BASE,P1_earth_only,holding_total_mln,87.020899
BASE,P1_earth_only,fixed_opex_total_mln,0.000000
BASE,P1_earth_only,take_or_pay_idle_t,0.000000
BASE,P1_earth_only,take_or_pay_topup_mln,0.000000
BASE,P1_earth_only,opening_inventory_t,12.328859
BASE,P1_earth_only,closing_inventory_t,0.000000
BASE,P1_earth_only,prep_holding_mln,0.369866
BASE,P1_earth_only,prep_holding_months,1
BASE,P1_earth_only,hard_violations,2
BASE,P1_earth_only,guideline_violations,0
BASE,P1_earth_only,warnings,0
BASE,P1_earth_only,feasible,False
BASE,P1_earth_only,checks_total,77
BASE,P1_earth_only,checks_passed,75
