scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 70.434 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-06 (до выдачи потребителям),2039,6,,70.434172,70.000000,0.434172
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 71.153 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-07 (до выдачи потребителям),2039,7,,71.153356,70.000000,1.153356
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 71.873 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-08 (до выдачи потребителям),2039,8,,71.872540,70.000000,1.872540
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 72.592 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-09 (до выдачи потребителям),2039,9,,72.591723,70.000000,2.591723
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 73.311 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-10 (до выдачи потребителям),2039,10,,73.310907,70.000000,3.310907
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 74.030 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-11 (до выдачи потребителям),2039,11,,74.030091,70.000000,4.030091
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 74.749 т превышает ёмкость хранилища Base storage 70.0 т внутри 2039-12 (до выдачи потребителям),2039,12,,74.749275,70.000000,4.749275
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-01 (до выдачи потребителям),2040,1,,80.582611,70.000000,10.582611
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-02 (до выдачи потребителям),2040,2,,80.582614,70.000000,10.582614
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-03 (до выдачи потребителям),2040,3,,80.582617,70.000000,10.582617
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-04 (до выдачи потребителям),2040,4,,80.582620,70.000000,10.582620
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-05 (до выдачи потребителям),2040,5,,80.582623,70.000000,10.582623
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-06 (до выдачи потребителям),2040,6,,80.582626,70.000000,10.582626
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-07 (до выдачи потребителям),2040,7,,80.582629,70.000000,10.582629
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-08 (до выдачи потребителям),2040,8,,80.582632,70.000000,10.582632
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-09 (до выдачи потребителям),2040,9,,80.582635,70.000000,10.582635
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-10 (до выдачи потребителям),2040,10,,80.582638,70.000000,10.582638
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-11 (до выдачи потребителям),2040,11,,80.582641,70.000000,10.582641
BASE,P2_earth_new,INTRA_MONTH_PEAK,warning,запас после поступления 80.583 т превышает ёмкость хранилища Base storage 70.0 т внутри 2040-12 (до выдачи потребителям),2040,12,,80.582643,70.000000,10.582643
