scenario_id,plan_id,metric,value
BASE,P3_isru_zbo,total_cost_mln,10654.258816
BASE,P3_isru_zbo,pv_cost_mln,8638.856936
BASE,P3_isru_zbo,discount_rate_real,0.080000
BASE,P3_isru_zbo,demand_total_t,1390.000000
BASE,P3_isru_zbo,served_total_t,1390.000000
BASE,P3_isru_zbo,served_critical_t,950.000000
BASE,P3_isru_zbo,shortage_total_t,0.000000
BASE,P3_isru_zbo,shortage_critical_t,0.000000
BASE,P3_isru_zbo,cost_per_served_t_mln,7.664934
BASE,P3_isru_zbo,pv_cost_per_served_t_mln,6.215005
BASE,P3_isru_zbo,min_service_level_total,1.000000
BASE,P3_isru_zbo,min_service_level_critical,1.000000
BASE,P3_isru_zbo,losses_total_t,29.492173
BASE,P3_isru_zbo,throughput_total_t,1455.245900
BASE,P3_isru_zbo,capex_total_mln,1430.000000
BASE,P3_isru_zbo,procurement_total_mln,8374.897890
BASE,P3_isru_zbo,reservation_total_mln,467.633670
BASE,P3_isru_zbo,holding_total_mln,129.727256
BASE,P3_isru_zbo,fixed_opex_total_mln,252.000000
BASE,P3_isru_zbo,take_or_pay_idle_t,0.000000
BASE,P3_isru_zbo,opening_inventory_t,12.328859
BASE,P3_isru_zbo,closing_inventory_t,48.082586
BASE,P3_isru_zbo,hard_violations,0
BASE,P3_isru_zbo,guideline_violations,0
BASE,P3_isru_zbo,warnings,0
BASE,P3_isru_zbo,feasible,True
