plan_id,scenario_id,feasible,hard_violations,guideline_violations,total_cost_mln,pv_cost_mln,cost_per_served_t_mln,pv_cost_per_served_t_mln,capex_total_mln,procurement_total_mln,reservation_total_mln,holding_total_mln,fixed_opex_total_mln,served_total_t,shortage_total_t,shortage_critical_t,min_sl_total,min_sl_critical,losses_total_t,take_or_pay_idle_t,violations,experiment
P1_earth_only,BASE,False,2,0,9879.4718,7857.3800,7.6440,6.0794,0.0000,9282.9393,509.8815,86.6510,0.0000,1292.4524,97.5476,0.0000,0.7499,1.0000,60.3200,0.0000,BASE_TOTAL_SERVICE@2040; RESERVE_45D@2040,EXP-01
P1_earth_only,MANDATORY_STRESS,False,6,2,10863.0737,8607.4636,8.4050,6.6598,0.0000,10296.5069,509.8815,56.6853,0.0000,1292.4524,241.5476,1.0000,0.6388,0.9965,60.3200,0.0000,BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038; STRESS_LOSS_LIMIT@2039; STRESS_LOSS_LIMIT@2040,EXP-01
P2_earth_new,BASE,True,0,0,11079.2351,8779.8216,7.9707,6.3164,360.0000,9996.5934,586.3828,136.2588,0.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,67.1821,0.0000,,EXP-01
P2_earth_new,MANDATORY_STRESS,False,6,2,11642.3183,9212.1130,8.0957,6.4058,360.0000,10639.2502,586.3828,56.6853,0.0000,1438.0826,95.9174,0.0000,0.8696,1.0000,67.1821,0.0000,BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038; STRESS_LOSS_LIMIT@2039; STRESS_LOSS_LIMIT@2040,EXP-01
P2z_earth_new_zbo,BASE,True,0,0,10980.2549,8729.4038,7.8995,6.2801,540.0000,9683.7534,578.8462,135.6553,42.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-01
P2z_earth_new_zbo,MANDATORY_STRESS,False,3,2,11517.7645,9142.8978,8.0091,6.3577,540.0000,10300.8365,578.8462,56.0818,42.0000,1438.0826,95.9174,0.0000,0.8696,1.0000,29.4922,0.0000,BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-01
P3_isru_zbo,BASE,True,0,0,10654.2588,8638.8569,7.6649,6.2150,1430.0000,8374.8979,467.6337,129.7273,252.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-01
P3_isru_zbo,MANDATORY_STRESS,False,3,3,11167.3033,9031.6248,8.1873,6.6215,1430.0000,8970.4766,467.6337,47.1930,252.0000,1363.9826,170.0174,0.0000,0.8125,1.0000,28.5922,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-01
P4_full,BASE,True,0,0,10815.3570,8857.6091,7.7808,6.3724,1790.0000,8157.9138,485.7159,129.7273,252.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-01
P4_full,MANDATORY_STRESS,False,3,3,11278.0684,9213.3807,8.2685,6.7548,1790.0000,8703.1595,485.7159,47.1930,252.0000,1363.9826,170.0174,0.0000,0.8125,1.0000,28.5922,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-01
