scenario_id,plan_id,rule_id,year,metric,actual,limit,operator,ok,severity,scope
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_CRITICAL_SERVICE,2035,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_CRITICAL_SERVICE,2036,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_CRITICAL_SERVICE,2037,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_CRITICAL_SERVICE,2038,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_CRITICAL_SERVICE,2039,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_CRITICAL_SERVICE,2040,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_TOTAL_SERVICE,2035,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_TOTAL_SERVICE,2036,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_TOTAL_SERVICE,2037,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_TOTAL_SERVICE,2038,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_TOTAL_SERVICE,2039,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,BASE_TOTAL_SERVICE,2040,total_service_level,0.994755,0.970000,>=,True,guideline,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2037,2035,cumulative_capex,360.000000,1800.000000,<=,True,hard,through_2037
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2037,2036,cumulative_capex,360.000000,1800.000000,<=,True,hard,through_2037
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2037,2037,cumulative_capex,540.000000,1800.000000,<=,True,hard,through_2037
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2040,2035,cumulative_capex,360.000000,2800.000000,<=,True,hard,through_2040
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2040,2036,cumulative_capex,360.000000,2800.000000,<=,True,hard,through_2040
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2040,2037,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2040,2038,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2040,2039,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPEX_2040,2040,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,RESERVE_45D,2035,opening_stock_vs_45d_reserve_t,13.561668,13.561644,>=,True,hard,physical
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,RESERVE_45D,2036,opening_stock_vs_45d_reserve_t,18.986406,18.986301,>=,True,hard,physical
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,RESERVE_45D,2037,opening_stock_vs_45d_reserve_t,25.767246,25.767123,>=,True,hard,physical
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,RESERVE_45D,2038,opening_stock_vs_45d_reserve_t,38.527568,38.527397,>=,True,hard,physical
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,RESERVE_45D,2039,opening_stock_vs_45d_reserve_t,49.315296,49.315068,>=,True,hard,physical
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,RESERVE_45D,2040,opening_stock_vs_45d_reserve_t,60.102972,60.102740,>=,True,hard,physical
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,EMERGENCY_BASE_STREAK,2035,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,EMERGENCY_BASE_STREAK,2036,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,EMERGENCY_BASE_STREAK,2037,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,EMERGENCY_BASE_STREAK,2038,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,EMERGENCY_BASE_STREAK,2039,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,EMERGENCY_BASE_STREAK,2040,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,STORAGE_OVERFLOW,2035,end_of_month_stock_t_in_worst_month,18.986406,70.000000,<=,True,hard,"2035-12, хранилище BASE; проверка помесячная"
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,CAPACITY_EXCEEDED,2035,reserved_A_t_per_year,120.864000,190.000000,<=,True,hard,Earth-Core
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,ORDER_EXCEEDS_RESERVATION,2035,ordered_A_t,120.863600,120.864000,<=,True,hard,Earth-Core
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,LEAD_TIME_VIOLATED,2035,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,SOURCE_NOT_AVAILABLE,2035,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
TEAM_HIGH_DEMAND,P2z_earth_new_zbo_team_high_demand,STORAGE_OVERFLOW,2036,end_of_month_stock_t_in_worst_month,25.767246,70.000000,<=,True,hard,"2036-12, хранилище BASE; проверка помесячная"
