plan_id,scenario_id,feasible,hard_violations,guideline_violations,total_cost_mln,pv_cost_mln,cost_per_served_t_mln,pv_cost_per_served_t_mln,capex_total_mln,procurement_total_mln,reservation_total_mln,holding_total_mln,fixed_opex_total_mln,served_total_t,shortage_total_t,shortage_critical_t,min_sl_total,min_sl_critical,losses_total_t,take_or_pay_idle_t,violations,experiment,variant
P2z_earth_new_zbo,TEAM_LOW_DEMAND,False,92,0,11433.5047,9070.4654,10.2819,8.1569,540.0000,9683.7534,578.8462,588.9051,42.0000,1112.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,INTRA_MONTH_PEAK@2036; INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2036; STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,EXP-03,план BASE без изменений
P2z_earth_new_zbo_team_low_demand,TEAM_LOW_DEMAND,True,0,0,8692.1736,6943.8739,7.8167,6.2445,540.0000,7509.1106,492.2433,108.8198,42.0000,1112.0000,0.0000,0.0000,1.0000,1.0000,23.5937,0.0000,,EXP-03,перепланирован
P3_isru_zbo,TEAM_LOW_DEMAND,False,89,0,11107.5087,8979.9185,9.9888,8.0755,1430.0000,8374.8979,467.6337,582.9771,252.0000,1112.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,INTRA_MONTH_PEAK@2036; INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2036; STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,EXP-03,план BASE без изменений
P3_isru_zbo_team_low_demand,TEAM_LOW_DEMAND,True,0,0,8393.1626,6873.1875,7.5478,6.1809,1430.0000,6237.5686,370.7022,102.8918,252.0000,1112.0000,0.0000,0.0000,1.0000,1.0000,23.5937,0.0000,,EXP-03,перепланирован
P4_full,TEAM_LOW_DEMAND,False,89,0,11268.6068,9198.6707,10.1336,8.2722,1790.0000,8157.9138,485.7159,582.9771,252.0000,1112.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,INTRA_MONTH_PEAK@2036; INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2036; STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,EXP-03,план BASE без изменений
P4_full_team_low_demand,TEAM_LOW_DEMAND,True,0,0,8743.6100,7226.6862,7.8630,6.4988,1790.0000,6227.1475,371.5707,102.8918,252.0000,1112.0000,0.0000,0.0000,1.0000,1.0000,23.5937,0.0000,,EXP-03,перепланирован
P2z_earth_new_zbo,TEAM_HIGH_DEMAND,False,6,4,10854.4456,8631.8236,7.5479,6.0023,540.0000,9683.7534,578.8462,9.8460,42.0000,1438.0826,234.9174,0.0000,0.8000,1.0000,29.4922,0.0000,BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-03,план BASE без изменений
P2z_earth_new_zbo_team_high_demand,TEAM_HIGH_DEMAND,True,0,0,12927.0829,10238.9920,7.7387,6.1295,540.0000,11567.8638,634.7082,142.5109,42.0000,1670.4430,2.5570,0.0000,0.9948,1.0000,33.5964,0.0000,,EXP-03,перепланирован
P3_isru_zbo,TEAM_HIGH_DEMAND,False,6,5,10534.3776,8545.9826,7.3253,5.9426,1430.0000,8374.8979,467.6337,9.8460,252.0000,1438.0826,234.9174,8.7783,0.8000,0.9587,29.4922,0.0000,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-03,план BASE без изменений
P3_isru_zbo_team_high_demand,TEAM_HIGH_DEMAND,True,0,0,12577.4375,10142.8719,7.5742,6.1081,1430.0000,10243.7424,517.9683,133.7269,252.0000,1660.5630,12.4370,0.0000,0.9745,1.0000,33.4764,0.0000,,EXP-03,перепланирован
P4_full,TEAM_HIGH_DEMAND,False,6,5,10695.4757,8764.7348,7.4373,6.0947,1790.0000,8157.9138,485.7159,9.8460,252.0000,1438.0826,234.9174,8.7783,0.8000,0.9587,29.4922,0.0000,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-03,план BASE без изменений
P4_full_team_high_demand,TEAM_HIGH_DEMAND,True,0,0,13113.6613,10595.1902,7.8384,6.3330,1790.0000,10336.9272,575.6703,159.0638,252.0000,1673.0000,0.0000,0.0000,1.0000,1.0000,34.3574,0.0000,,EXP-03,перепланирован
