delay_months,year,demand_t,shortage_t,critical_shortage_t,service_total,service_critical,opening_t,reserve_required_t,reserve_ok,reserve_gap_t,closing_t
0,2035,100.0,0.0,0.0,1.0,1.0,12.328859000000001,12.32876712328767,True,0.0,17.260439000000027
0,2036,140.0,0.0,0.0,1.0,1.0,17.260439000000027,17.26027397260274,True,0.0,23.424908000000073
0,2037,190.0,0.0,0.0,1.0,1.0,23.424908000000073,23.424657534246574,True,0.0,30.82224430000005
0,2038,250.0,0.0,0.0,1.0,1.0,30.82224430000005,30.82191780821918,True,0.0,39.45238750000013
0,2039,320.0,0.0,0.0,1.0,1.0,39.45238750000013,39.45205479452055,True,0.0,48.08252830000018
0,2040,390.0,0.0,0.0,1.0,1.0,48.08252830000018,48.082191780821915,True,0.0,48.082585500000306
3,2035,100.0,0.0,0.0,1.0,1.0,12.328859000000001,12.32876712328767,True,0.0,17.260439000000027
3,2036,140.0,0.0,0.0,1.0,1.0,17.260439000000027,17.26027397260274,True,0.0,23.424908000000073
3,2037,190.0,0.0,0.0,1.0,1.0,23.424908000000073,23.424657534246574,True,0.0,27.67356155000006
3,2038,250.0,0.0,0.0,1.0,1.0,27.67356155000006,30.82191780821918,False,3.1483562582191205,36.303704750000136
3,2039,320.0,0.0,0.0,1.0,1.0,36.303704750000136,39.45205479452055,False,3.148350044520413,44.933845550000186
3,2040,390.0,0.0,0.0,1.0,1.0,44.933845550000186,48.082191780821915,False,3.14834623082173,44.9339027500003
6,2035,100.0,0.0,0.0,1.0,1.0,12.328859000000001,12.32876712328767,True,0.0,17.260439000000027
6,2036,140.0,0.0,0.0,1.0,1.0,17.260439000000027,17.26027397260274,True,0.0,23.424908000000073
6,2037,190.0,0.0,0.0,1.0,1.0,23.424908000000073,23.424657534246574,True,0.0,24.524878800000067
6,2038,250.0,0.0,0.0,1.0,1.0,24.524878800000067,30.82191780821918,False,6.297039008219112,33.155022000000145
6,2039,320.0,0.0,0.0,1.0,1.0,33.155022000000145,39.45205479452055,False,6.297032794520405,41.785162800000194
6,2040,390.0,0.0,0.0,1.0,1.0,41.785162800000194,48.082191780821915,False,6.297028980821722,41.78522000000032
12,2035,100.0,0.0,0.0,1.0,1.0,12.328859000000001,12.32876712328767,True,0.0,17.260439000000027
12,2036,140.0,0.0,0.0,1.0,1.0,17.260439000000027,17.26027397260274,True,0.0,23.424908000000073
12,2037,190.0,0.0,0.0,1.0,1.0,23.424908000000073,23.424657534246574,True,0.0,18.009908000000095
12,2038,250.0,0.0,0.0,1.0,1.0,18.009908000000095,30.82191780821918,False,12.812009808219084,26.64005120000017
12,2039,320.0,0.0,0.0,1.0,1.0,26.64005120000017,39.45205479452055,False,12.81200359452038,35.270192000000165
12,2040,390.0,0.0,0.0,1.0,1.0,35.270192000000165,48.082191780821915,False,12.81199978082175,35.27024920000028
