scenario_id,plan_id,rule_id,year,metric,actual,limit,operator,ok,severity,scope
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2035,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2036,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2037,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2038,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2039,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2040,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_CRITICAL_SERVICE,2041,critical_service_level,1.000000,0.990000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2035,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2036,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2037,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2038,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2039,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2040,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,BASE_TOTAL_SERVICE,2041,total_service_level,1.000000,0.970000,>=,True,guideline,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2037,2035,cumulative_capex,0.000000,1800.000000,<=,True,hard,through_2037
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2037,2036,cumulative_capex,1250.000000,1800.000000,<=,True,hard,through_2037
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2037,2037,cumulative_capex,1430.000000,1800.000000,<=,True,hard,through_2037
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2040,2035,cumulative_capex,0.000000,2800.000000,<=,True,hard,through_2040
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2040,2036,cumulative_capex,1250.000000,2800.000000,<=,True,hard,through_2040
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2040,2037,cumulative_capex,1430.000000,2800.000000,<=,True,hard,through_2040
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2040,2038,cumulative_capex,1430.000000,2800.000000,<=,True,hard,through_2040
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2040,2039,cumulative_capex,1430.000000,2800.000000,<=,True,hard,through_2040
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPEX_2040,2040,cumulative_capex,1430.000000,2800.000000,<=,True,hard,through_2040
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2035,opening_stock_vs_45d_reserve_t,12.328859,12.328767,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2036,opening_stock_vs_45d_reserve_t,17.260439,17.260274,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2037,opening_stock_vs_45d_reserve_t,23.424908,23.424658,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2038,opening_stock_vs_45d_reserve_t,30.822244,30.821918,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2039,opening_stock_vs_45d_reserve_t,39.452388,39.452055,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2040,opening_stock_vs_45d_reserve_t,48.082528,48.082192,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,RESERVE_45D,2041,opening_stock_vs_45d_reserve_t,55.479840,55.479452,>=,True,hard,physical
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2035,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2036,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2037,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2038,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2039,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2040,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,EMERGENCY_BASE_STREAK,2041,emergency_share_of_demand,0.000000,0.200000,<= (else counts as base year),True,hard,max 2 consecutive base years
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,STORAGE_OVERFLOW,2035,max_end_of_month_stock_t,17.260439,70.000000,<=,True,hard,monthly
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,CAPACITY_EXCEEDED,2035,reserved_A_t_per_year,109.876000,190.000000,<=,True,hard,Earth-Core
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,ORDER_EXCEEDS_RESERVATION,2035,ordered_A_t,109.876000,109.876000,<=,True,hard,Earth-Core
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,LEAD_TIME_VIOLATED,2035,all_deliveries_ordered_within_lead_time,1.000000,1.000000,==,True,hard,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,SOURCE_NOT_AVAILABLE,2035,all_orders_from_available_sources,1.000000,1.000000,==,True,hard,
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,STORAGE_OVERFLOW,2036,max_end_of_month_stock_t,23.424908,70.000000,<=,True,hard,monthly
