scenario_id,plan_id,metric,value
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,total_cost_mln,13273.297578
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,pv_cost_mln,10271.042599
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,discount_rate_real,0.080000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,demand_total_t,1840.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,served_total_t,1840.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,served_critical_t,1240.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,shortage_total_t,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,shortage_critical_t,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,cost_per_served_t_mln,7.213749
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,pv_cost_per_served_t_mln,5.582088
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,min_service_level_total,1.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,min_service_level_critical,1.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,losses_total_t,35.047606
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,throughput_total_t,1918.198600
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,capex_total_mln,1430.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,procurement_total_mln,10763.098600
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,reservation_total_mln,573.863220
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,holding_total_mln,172.335758
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,fixed_opex_total_mln,334.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,take_or_pay_idle_t,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,take_or_pay_topup_mln,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,opening_inventory_t,12.328859
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,closing_inventory_t,55.479853
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,hard_violations,0
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,guideline_violations,0
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,warnings,0
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,feasible,True
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,checks_total,92
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,checks_passed,92
