plan_id,year,period,source_id,payable_volume_t,price_before,price_after,delta_procurement_mln,booked_year,delta_pv_mln
P2z_earth_new_zbo,2034,prep,B,12.9098,8.9,8.9,0.0,2035,0.0
P2z_earth_new_zbo,2035,year,A,109.876,6.2,6.2,0.0,2035,0.0
P2z_earth_new_zbo,2035,year,B,0.0,8.9,8.9,0.0,2035,0.0
P2z_earth_new_zbo,2035,year,C,0.0,7.1,7.1,0.0,2035,0.0
P2z_earth_new_zbo,2035,year,D,0.0,3.0,3.0,0.0,2035,0.0
P2z_earth_new_zbo,2035,year,E,0.0,13.8,13.8,0.0,2035,0.0
P2z_earth_new_zbo,2036,year,A,153.0518,6.2,6.2,0.0,2036,0.0
P2z_earth_new_zbo,2036,year,B,0.0,8.9,8.9,0.0,2036,0.0
P2z_earth_new_zbo,2036,year,C,0.0,7.1,7.1,0.0,2036,0.0
P2z_earth_new_zbo,2036,year,D,0.0,3.0,3.0,0.0,2036,0.0
P2z_earth_new_zbo,2036,year,E,0.0,13.8,13.8,0.0,2036,0.0
P2z_earth_new_zbo,2037,year,A,190.0,6.2,6.2,0.0,2037,0.0
P2z_earth_new_zbo,2037,year,B,0.0,8.9,8.9,0.0,2037,0.0
P2z_earth_new_zbo,2037,year,C,13.1882,7.1,7.1,0.0,2037,0.0
P2z_earth_new_zbo,2037,year,D,0.0,3.0,3.0,0.0,2037,0.0
P2z_earth_new_zbo,2037,year,E,0.0,13.8,13.8,0.0,2037,0.0
P2z_earth_new_zbo,2038,year,A,190.0,6.2,7.75,294.5,2038,233.78359498043994
P2z_earth_new_zbo,2038,year,B,0.0,8.9,11.125,0.0,2038,0.0
P2z_earth_new_zbo,2038,year,C,71.7714,7.1,7.1,0.0,2038,0.0
P2z_earth_new_zbo,2038,year,D,0.0,3.0,3.0,0.0,2038,0.0
P2z_earth_new_zbo,2038,year,E,0.0,13.8,13.8,0.0,2038,0.0
P2z_earth_new_zbo,2039,year,A,190.0,6.2,7.75,294.5,2039,216.46629164855548
