year,source_id,source_name,base_price_mln_per_t,shock_price_mln_per_t,surcharge_mln_per_t,multiplier,status
2035,A,Earth-Core,6.2,6.2,0.0,1.0,TEAM_ASSUMPTION
2035,B,Earth-Flex,8.9,8.9,0.0,1.0,TEAM_ASSUMPTION
2035,C,Earth-New,7.1,7.1,0.0,1.0,TEAM_ASSUMPTION
2035,D,Lunar-ISRU,3.0,3.0,0.0,1.0,TEAM_ASSUMPTION
2035,E,Emergency,13.8,13.8,0.0,1.0,TEAM_ASSUMPTION
2036,A,Earth-Core,6.2,6.2,0.0,1.0,TEAM_ASSUMPTION
2036,B,Earth-Flex,8.9,8.9,0.0,1.0,TEAM_ASSUMPTION
2036,C,Earth-New,7.1,7.1,0.0,1.0,TEAM_ASSUMPTION
2036,D,Lunar-ISRU,3.0,3.0,0.0,1.0,TEAM_ASSUMPTION
2036,E,Emergency,13.8,13.8,0.0,1.0,TEAM_ASSUMPTION
2037,A,Earth-Core,6.2,6.2,0.0,1.0,TEAM_ASSUMPTION
2037,B,Earth-Flex,8.9,8.9,0.0,1.0,TEAM_ASSUMPTION
2037,C,Earth-New,7.1,7.1,0.0,1.0,TEAM_ASSUMPTION
2037,D,Lunar-ISRU,3.0,3.0,0.0,1.0,TEAM_ASSUMPTION
2037,E,Emergency,13.8,13.8,0.0,1.0,TEAM_ASSUMPTION
2038,A,Earth-Core,6.2,7.75,1.5499999999999998,1.25,TEAM_ASSUMPTION
2038,B,Earth-Flex,8.9,11.125,2.2249999999999996,1.25,TEAM_ASSUMPTION
2038,C,Earth-New,7.1,7.1,0.0,1.0,TEAM_ASSUMPTION
2038,D,Lunar-ISRU,3.0,3.0,0.0,1.0,TEAM_ASSUMPTION
2038,E,Emergency,13.8,13.8,0.0,1.0,TEAM_ASSUMPTION
2039,A,Earth-Core,6.2,7.75,1.5499999999999998,1.25,TEAM_ASSUMPTION
2039,B,Earth-Flex,8.9,11.125,2.2249999999999996,1.25,TEAM_ASSUMPTION
2039,C,Earth-New,7.1,7.1,0.0,1.0,TEAM_ASSUMPTION
2039,D,Lunar-ISRU,3.0,3.0,0.0,1.0,TEAM_ASSUMPTION
2039,E,Emergency,13.8,13.8,0.0,1.0,TEAM_ASSUMPTION
2040,A,Earth-Core,6.2,6.2,0.0,1.0,TEAM_ASSUMPTION
2040,B,Earth-Flex,8.9,8.9,0.0,1.0,TEAM_ASSUMPTION
2040,C,Earth-New,7.1,7.1,0.0,1.0,TEAM_ASSUMPTION
2040,D,Lunar-ISRU,3.0,3.0,0.0,1.0,TEAM_ASSUMPTION
2040,E,Emergency,13.8,13.8,0.0,1.0,TEAM_ASSUMPTION
