plan_id,scenario,batches,feasible,intra_month_violations,worst_headroom_t,hard_violations,pv_cost_mln
P1_earth_only,BASE,1,False,0,6.6726,2,7857.7499
P1_earth_only,BASE,2,False,0,18.6101,2,7857.7499
P1_earth_only,BASE,4,False,0,24.5788,2,7857.7499
P1_earth_only,BASE,12,False,0,28.5580,2,7857.7499
P1_earth_only,MANDATORY_STRESS,1,False,0,17.6252,6,8607.8335
P1_earth_only,MANDATORY_STRESS,2,False,0,28.4015,6,8607.8335
P1_earth_only,MANDATORY_STRESS,4,False,0,33.7896,6,8607.8335
P1_earth_only,MANDATORY_STRESS,12,False,0,37.3817,6,8607.8335
P2_earth_new,BASE,1,False,19,-10.5826,19,8780.1914
P2_earth_new,BASE,2,True,0,5.6674,0,8780.1914
P2_earth_new,BASE,4,True,0,13.7924,0,8780.1914
P2_earth_new,BASE,12,True,0,19.2090,0,8780.1914
P2_earth_new,MANDATORY_STRESS,1,False,0,17.6252,6,9212.4828
P2_earth_new,MANDATORY_STRESS,2,False,0,28.4015,6,9212.4828
P2_earth_new,MANDATORY_STRESS,4,False,0,33.7896,6,9212.4828
P2_earth_new,MANDATORY_STRESS,12,False,0,37.3817,6,9212.4828
P2z_earth_new_zbo,BASE,1,True,0,28.7194,0,8729.7736
P2z_earth_new_zbo,BASE,2,True,0,36.6361,0,8729.7736
P2z_earth_new_zbo,BASE,4,True,0,40.5944,0,8729.7736
P2z_earth_new_zbo,BASE,12,True,0,43.2333,0,8729.7736
P2z_earth_new_zbo,MANDATORY_STRESS,1,False,0,28.7194,3,9143.2676
P2z_earth_new_zbo,MANDATORY_STRESS,2,False,0,36.6361,3,9143.2676
P2z_earth_new_zbo,MANDATORY_STRESS,4,False,0,40.5944,3,9143.2676
P2z_earth_new_zbo,MANDATORY_STRESS,12,False,0,43.2333,3,9143.2676
P2z_earth_new_zbo_adapted,BASE,1,False,22,-88.1350,39,9644.8461
P2z_earth_new_zbo_adapted,BASE,2,False,20,-71.8850,37,9644.8461
P2z_earth_new_zbo_adapted,BASE,4,False,18,-63.7600,35,9644.8461
P2z_earth_new_zbo_adapted,BASE,12,False,17,-58.3433,34,9644.8461
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,1,True,0,26.4470,0,10097.8418
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,2,True,0,34.3637,0,10097.8418
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,4,True,0,38.3220,0,10097.8418
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,12,True,0,40.9609,0,10097.8418
P3_isru_zbo,BASE,1,True,0,28.7194,0,8639.2268
P3_isru_zbo,BASE,2,True,0,36.6361,0,8639.2268
P3_isru_zbo,BASE,4,True,0,40.5944,0,8639.2268
P3_isru_zbo,BASE,12,True,0,43.2333,0,8639.2268
P3_isru_zbo,MANDATORY_STRESS,1,False,0,28.7194,3,9031.9947
P3_isru_zbo,MANDATORY_STRESS,2,False,0,36.6361,3,9031.9947
P3_isru_zbo,MANDATORY_STRESS,4,False,0,40.5944,3,9031.9947
P3_isru_zbo,MANDATORY_STRESS,12,False,0,43.2333,3,9031.9947
P3_isru_zbo_adapted,BASE,1,False,28,-152.3550,53,10097.9051
P3_isru_zbo_adapted,BASE,2,False,26,-136.1050,51,10097.9051
P3_isru_zbo_adapted,BASE,4,False,26,-127.9800,51,10097.9051
P3_isru_zbo_adapted,BASE,12,False,25,-122.5633,50,10097.9051
P3_isru_zbo_adapted,MANDATORY_STRESS,1,True,0,26.4470,0,10637.0248
P3_isru_zbo_adapted,MANDATORY_STRESS,2,True,0,34.3637,0,10637.0248
P3_isru_zbo_adapted,MANDATORY_STRESS,4,True,0,38.3220,0,10637.0248
P3_isru_zbo_adapted,MANDATORY_STRESS,12,True,0,40.9609,0,10637.0248
P3_isru_zbo_policy_T1_mandatory_stress,BASE,1,False,27,-185.0356,53,10684.5519
P3_isru_zbo_policy_T1_mandatory_stress,BASE,2,False,27,-168.7856,53,10684.5519
P3_isru_zbo_policy_T1_mandatory_stress,BASE,4,False,26,-160.6606,52,10684.5519
P3_isru_zbo_policy_T1_mandatory_stress,BASE,12,False,26,-155.2440,52,10684.5519
P3_isru_zbo_policy_T1_mandatory_stress,MANDATORY_STRESS,1,False,0,22.3819,1,11176.0415
P3_isru_zbo_policy_T1_mandatory_stress,MANDATORY_STRESS,2,False,0,36.6361,1,11176.0415
