variant,base_feasible,stress_feasible,base_hard,stress_hard,base_rules,stress_rules,base_pv_mln,stress_pv_mln
lambda=0.0,True,False,0,3,—,RESERVE_45D,8729.7736,9143.2676
lambda=0.1,True,False,0,3,—,RESERVE_45D,8821.2808,9234.2068
lambda=0.2,True,False,0,3,—,RESERVE_45D,8912.7887,9325.5877
lambda=0.3,True,False,0,3,—,RESERVE_45D,9004.2952,9417.6534
lambda=0.4,False,False,10,3,INTRA_MONTH_PEAK,RESERVE_45D,9095.8024,9510.9284
lambda=0.5,False,False,13,3,INTRA_MONTH_PEAK,RESERVE_45D,9187.3096,9605.6844
lambda=0.6,False,False,19,3,INTRA_MONTH_PEAK; STORAGE_OVERFLOW,RESERVE_45D,9278.8173,9701.6329
lambda=0.7,False,False,27,3,INTRA_MONTH_PEAK; STORAGE_OVERFLOW,RESERVE_45D,9370.3245,9799.1696
lambda=0.8,False,False,33,3,INTRA_MONTH_PEAK; STORAGE_OVERFLOW,RESERVE_45D,9461.8310,9898.5071
lambda=0.9,False,False,36,3,INTRA_MONTH_PEAK; STORAGE_OVERFLOW,RESERVE_45D,9553.3389,9998.1749
lambda=1.0,False,True,39,0,INTRA_MONTH_PEAK; STORAGE_OVERFLOW,—,9644.8461,10097.8418
