variant,delay_months,pv_cost_mln,total_cost_mln,full_pass,physical_pass,shortage_t,critical_shortage_t,min_service_total,min_service_critical,max_reserve_gap_t,reserve_failed_years,hard_violations,failure_rules,first_rule,first_year,first_month,delta_pv_same_delay_mln,delta_total_same_delay_mln,delta_pv_original_base_mln
without_measure,0,8729.403761679878,10980.254866178,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,0.0,0.0,0.0
physical_stock,0,8760.53991958403,11017.546609826,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,31.136157904151332,37.29174364800019,31.136157904151332
guarded_calendar,0,8729.689187022066,10980.609872522,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,0.2854253421883186,0.3550063439997757,0.2854253421883186
without_measure,3,8721.846099703494,10970.480866305501,False,False,0.0,0.0,1.0,1.0,3.1483562582191205,2038;2039;2040,7,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,2037,1,0.0,0.0,-7.557661976383315
physical_stock,3,8752.982257607644,11007.772609953501,False,True,0.0,0.0,1.0,1.0,0.0,,4,ORDER_EXCEEDS_RESERVATION;SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,2037,1,31.136157904149513,37.29174364800019,23.5784959277662
guarded_calendar,3,8728.558464285441,10979.290997522,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,6.712364581946531,8.81013121649994,-0.8452973944367841
without_measure,6,8714.7743455589,10961.273629328,False,False,0.0,0.0,1.0,1.0,6.297039008219112,2038;2039;2040,10,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,2037,1,0.0,0.0,-14.629416120977112
physical_stock,6,8745.910503463052,10998.565372976,False,False,0.0,0.0,1.0,1.0,3.096511808219116,2038;2039;2040,10,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,2037,1,31.136157904151332,37.29174364800019,16.50674178317422
guarded_calendar,6,8719.129480192787,10967.014706552001,False,False,0.0,0.0,1.0,1.0,4.12538207488576,2038;2039;2040,7,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,2037,4,4.355134633886337,5.741077224001856,-10.274281487090775
without_measure,12,8701.708813056419,10944.050247656001,False,False,0.0,0.0,1.0,1.0,12.812009808219084,2038;2039;2040,6,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,ORDER_EXCEEDS_RESERVATION,2037,,0.0,0.0,-27.694948623458913
physical_stock,12,8732.844970960568,10981.341991304,False,False,0.0,0.0,1.0,1.0,9.61148260821913,2038;2039;2040,6,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,ORDER_EXCEEDS_RESERVATION,2037,,31.136157904149513,37.29174364799837,3.4412092806906003
guarded_calendar,12,8701.708813056419,10944.050247656001,False,False,0.0,0.0,1.0,1.0,12.812009808219084,2038;2039;2040,6,ORDER_EXCEEDS_RESERVATION;RESERVE_45D;SOURCE_NOT_AVAILABLE,ORDER_EXCEEDS_RESERVATION,2037,,0.0,0.0,-27.694948623458913
