variant,reference,factor,value,pv_cost_mln,total_cost_mln,full_pass,physical_pass,shortage_t,critical_shortage_t,min_service_total,min_service_critical,max_reserve_gap_t,reserve_failed_years,hard_violations,failure_rules,first_rule,first_year,first_month,delta_pv_mln
without_measure,BASE,demand,0,8729.403761679878,10980.254866178,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,0.0
without_measure,BASE,demand,0.01,8722.770852288242,10970.894866178,False,False,0.0,2.842170943040401e-14,1.0,0.9999999999999999,6.180485398630061,2038;2039;2040,3,RESERVE_45D,RESERVE_45D,2038,1,-6.632909391635621
without_measure,BASE,demand,0.02,8716.137942896607,10961.534866178,False,False,5.684341886080802e-14,0.0,0.9999999999999999,1.0,12.361307316438214,2038;2039;2040,3,RESERVE_45D,RESERVE_45D,2038,1,-13.265818783271243
without_measure,BASE,demand,0.05,8696.239214721702,10933.454866178,False,False,0.0,0.0,1.0,1.0,30.903773069863,2038;2039;2040,3,RESERVE_45D,RESERVE_45D,2038,1,-33.16454695817629
without_measure,BASE,demand,0.1,8677.9106473702,10908.354649609,False,False,47.91741450000001,0.0,0.9090910424242423,1.0,52.89041095890412,2038;2039;2040,3,BASE_TOTAL_SERVICE;RESERVE_45D,RESERVE_45D,2038,1,-51.493114309678276
without_measure,BASE,delivery_reduction,0,8729.403761679878,10980.254866178,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,0.0
without_measure,BASE,delivery_reduction,0.01,8727.194431031725,10977.1289476004,False,False,0.0,0.0,1.0,1.0,1.9931649128216975,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-2.2093306481529
without_measure,BASE,delivery_reduction,0.02,8724.985100383572,10974.0030290228,False,False,0.0,0.0,1.0,1.0,3.9866663448218276,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-4.4186612963058
without_measure,BASE,delivery_reduction,0.05,8718.357108439113,10964.625273290001,False,False,0.0,0.0,1.0,1.0,9.967170640821877,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-11.046653240764499
without_measure,BASE,delivery_reduction,0.1,8707.310455198349,10948.995680402,False,False,0.0,0.0,1.0,1.0,19.934677800821834,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-22.093306481528998
