variant,demand_direction,isru_direction,pass_radius,fail_radius,demand_fail,isru_reduction_fail,first_rule,first_year,first_month,actual,limit,excess
without_measure,1.0,0.0,6.625004971283488e-07,6.625014066230506e-07,6.625014066230506e-07,0.0,RESERVE_45D,2040,1,55.294556180328016,55.29455718064284,1.0003148247506033e-06
without_measure,1.0,0.25,6.307200237642974e-07,6.307209332589991e-07,6.307209332589991e-07,1.5768023331474978e-07,RESERVE_45D,2040,1,55.294554423158075,55.2945554233568,1.00019872206758e-06
without_measure,1.0,0.5,6.018490239512175e-07,6.018499334459193e-07,6.018499334459193e-07,3.0092496672295965e-07,RESERVE_45D,2040,1,55.29455282685794,55.29455382694871,1.000090769309736e-06
without_measure,1.0,0.75,5.755055099143647e-07,5.755064194090664e-07,5.755064194090664e-07,4.3162981455679983e-07,RESERVE_45D,2040,1,55.29455137025526,55.29455237029673,1.0000414647493017e-06
without_measure,1.0,1.0,5.5137206800282e-07,5.513729774975218e-07,5.513729774975218e-07,5.513729774975218e-07,RESERVE_45D,2040,1,55.294550035320526,55.294551035849636,1.0005291102288538e-06
without_measure,0.75,1.0,6.962336556171067e-07,6.962345651118085e-07,5.221759238338564e-07,6.962345651118085e-07,RESERVE_45D,2040,1,55.29454842111842,55.29454942141255,1.0002941266407106e-06
without_measure,0.5,1.0,9.443392627872527e-07,9.443401722819544e-07,4.721700861409772e-07,9.443401722819544e-07,RESERVE_45D,2040,1,55.29454565633543,55.294546656363735,1.0000283054978354e-06
without_measure,0.25,1.0,1.4671732060378417e-06,1.4671741155325435e-06,3.667935288831359e-07,1.4671741155325435e-06,RESERVE_45D,2040,1,55.29453982947794,55.294540829617524,1.0001395835956828e-06
without_measure,0.0,1.0,3.287044819444418e-06,3.2870457289391197e-06,0.0,3.2870457289391197e-06,RESERVE_45D,2040,1,55.294519547828955,55.2945205479452,1.000116242266813e-06
physical_stock,1.0,0.0,0.012100280817321618,0.012100280818231113,0.012100280818231113,0.0,RESERVE_45D,2040,1,55.96359877364954,55.963599774284795,1.000635258208149e-06
physical_stock,1.0,0.25,0.011519828056407277,0.011519828057316772,0.011519828057316772,0.002879957014329193,RESERVE_45D,2040,1,55.931502916556255,55.9315039171693,1.0006130466422292e-06
physical_stock,1.0,0.5,0.010992515030011418,0.010992515030920913,0.010992515030920913,0.0054962575154604565,RESERVE_45D,2040,1,55.90234539556647,55.90234639619605,1.0006295809716903e-06
physical_stock,1.0,0.75,0.010511363831028575,0.01051136383193807,0.01051136383193807,0.007883522873953552,RESERVE_45D,2040,1,55.87574037124213,55.875741371337234,1.0000951036204242e-06
physical_stock,1.0,1.0,0.010070567035654676,0.01007056703656417,0.01007056703656417,0.01007056703656417,RESERVE_45D,2040,1,55.85136672387398,55.85136772387796,1.000003976514563e-06
physical_stock,0.75,1.0,0.012716401858597237,0.012716401859506732,0.009537301394630049,0.012716401859506732,RESERVE_45D,2040,1,55.821880055427314,55.821881055882514,1.00045519957348e-06
physical_stock,0.5,1.0,0.017247945606868598,0.017247945607778092,0.008623972803889046,0.017247945607778092,RESERVE_45D,2040,1,55.771377989280765,55.77137898935476,1.0000739933957448e-06
physical_stock,0.25,1.0,0.026797264489687223,0.026797264490596717,0.006699316122649179,0.026797264490596717,RESERVE_45D,2040,1,55.66495502068051,55.66495602094621,1.0002656978258528e-06
physical_stock,0.0,1.0,0.06003639049231424,0.060036390493223735,0.0,0.060036390493223735,RESERVE_45D,2040,1,55.294519547940794,55.2945205479452,1.0000044028402044e-06
reservation_1t_per_year,1.0,0.0,6.625004971283488e-07,6.625014066230506e-07,6.625014066230506e-07,0.0,RESERVE_45D,2040,1,55.294556180328016,55.29455718064284,1.0003148247506033e-06
reservation_1t_per_year,1.0,0.25,6.307200237642974e-07,6.307209332589991e-07,6.307209332589991e-07,1.5768023331474978e-07,RESERVE_45D,2040,1,55.294554423158075,55.2945554233568,1.00019872206758e-06
reservation_1t_per_year,1.0,0.5,6.018490239512175e-07,6.018499334459193e-07,6.018499334459193e-07,3.0092496672295965e-07,RESERVE_45D,2040,1,55.29455282685794,55.29455382694871,1.000090769309736e-06
reservation_1t_per_year,1.0,0.75,5.755055099143647e-07,5.755064194090664e-07,5.755064194090664e-07,4.3162981455679983e-07,RESERVE_45D,2040,1,55.29455137025526,55.29455237029673,1.0000414647493017e-06
