section,metric,year,a,b,delta,label_a,label_b
kpi,total_cost_mln,,11167.673149,13993.885103,2826.211954,без изменений/STRESS,реактивный/STRESS
kpi,pv_cost_mln,,9031.994667,11135.632826,2103.638159,без изменений/STRESS,реактивный/STRESS
kpi,cost_per_served_t_mln,,8.187548,9.127636,0.940087,без изменений/STRESS,реактивный/STRESS
kpi,pv_cost_per_served_t_mln,,6.621782,7.263315,0.641534,без изменений/STRESS,реактивный/STRESS
kpi,served_total_t,,1363.982586,1533.133625,169.151040,без изменений/STRESS,реактивный/STRESS
kpi,shortage_total_t,,170.017414,0.866375,-169.151040,без изменений/STRESS,реактивный/STRESS
kpi,shortage_critical_t,,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
kpi,min_service_level_total,,0.812473,0.996987,0.184513,без изменений/STRESS,реактивный/STRESS
kpi,min_service_level_critical,,1.000000,1.000000,0.000000,без изменений/STRESS,реактивный/STRESS
kpi,losses_total_t,,28.592174,31.318327,2.726154,без изменений/STRESS,реактивный/STRESS
kpi,capex_total_mln,,1430.000000,1430.000000,0.000000,без изменений/STRESS,реактивный/STRESS
kpi,take_or_pay_idle_t,,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
kpi,hard_violations,,3,1,-2,без изменений/STRESS,реактивный/STRESS
kpi,guideline_violations,,3,0,-3,без изменений/STRESS,реактивный/STRESS
yearly,"Спрос, т",2035,100.000000,100.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Обслужено, т",2035,100.000000,100.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,Уровень сервиса общий,2035,1.000000,1.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,Уровень сервиса критический,2035,1.000000,1.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Дефицит, т",2035,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Поступление (факт), т",2035,109.876000,109.876000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Потери, т",2035,4.944420,4.944420,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,Потери / поступление,2035,0.045000,0.045000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Запас на начало, т",2035,12.328859,12.328859,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Запас на конец, т",2035,17.260439,17.260439,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"45-дневный резерв, т",2035,12.328767,12.328767,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Спрос, т",2036,140.000000,140.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Обслужено, т",2036,140.000000,140.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,Уровень сервиса общий,2036,1.000000,1.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,Уровень сервиса критический,2036,1.000000,1.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Дефицит, т",2036,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Поступление (факт), т",2036,153.051800,153.051800,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Потери, т",2036,6.887331,6.887331,0.000000,без изменений/STRESS,реактивный/STRESS
