section,metric,year,a,b,delta,label_a,label_b
kpi,total_cost_mln,,13993.515237,13291.585494,-701.929744,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,pv_cost_mln,,11135.262960,10636.654888,-498.608072,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,cost_per_served_t_mln,,9.127394,8.664658,-0.462736,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,pv_cost_per_served_t_mln,,7.263074,6.933934,-0.329140,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,served_total_t,,1533.133625,1534.000000,0.866375,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,shortage_total_t,,0.866375,0.000000,-0.866375,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,shortage_critical_t,,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,min_service_level_total,,0.996987,1.000000,0.003013,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,min_service_level_critical,,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,losses_total_t,,31.318327,31.000869,-0.317459,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,capex_total_mln,,1430.000000,1430.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,take_or_pay_idle_t,,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,hard_violations,,1,0,-1,реактивный/STRESS,заблаговременно адаптированный/STRESS
kpi,guideline_violations,,0,0,0,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Спрос, т",2035,100.000000,100.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Обслужено, т",2035,100.000000,100.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса общий,2035,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса критический,2035,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Дефицит, т",2035,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Поступление (факт), т",2035,109.876000,109.876000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Потери, т",2035,4.944420,4.944420,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Потери / поступление,2035,0.045000,0.045000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на начало, т",2035,12.328859,12.328859,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на конец, т",2035,17.260439,17.260439,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"45-дневный резерв, т",2035,12.328767,12.328767,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Спрос, т",2036,140.000000,140.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Обслужено, т",2036,140.000000,140.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса общий,2036,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса критический,2036,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Дефицит, т",2036,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Поступление (факт), т",2036,153.051800,153.051800,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Потери, т",2036,6.887331,6.887331,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Потери / поступление,2036,0.045000,0.045000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на начало, т",2036,17.260439,17.260439,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на конец, т",2036,23.424908,23.424908,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"45-дневный резерв, т",2036,17.260274,17.260274,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Спрос, т",2037,190.000000,190.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Обслужено, т",2037,190.000000,190.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса общий,2037,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса критический,2037,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Дефицит, т",2037,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Поступление (факт), т",2037,203.188200,207.947100,4.758900,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Потери, т",2037,5.790864,5.926492,0.135629,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Потери / поступление,2037,0.028500,0.028500,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на начало, т",2037,23.424908,23.424908,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на конец, т",2037,30.822244,35.445516,4.623271,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"45-дневный резерв, т",2037,23.424658,23.424658,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Спрос, т",2038,287.500000,287.500000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Обслужено, т",2038,286.633625,287.500000,0.866375,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса общий,2038,0.996987,1.000000,0.003013,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса критический,2038,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Дефицит, т",2038,0.866375,0.000000,-0.866375,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Поступление (факт), т",2038,304.848600,301.037200,-3.811400,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Потери, т",2038,3.658183,3.612446,-0.045737,реактивный/STRESS,заблаговременно адаптированный/STRESS
