discount_rate,plan_id,pv_cost_mln,feasible
0.0000,P1_earth_only,9879.4718,False
0.0000,P2_earth_new,11079.2351,True
0.0000,P2z_earth_new_zbo,10980.2549,True
0.0000,P3_isru_zbo,10654.2588,True
0.0000,P4_full,10815.3570,True
0.0400,P1_earth_only,8774.6468,False
0.0400,P2_earth_new,9819.6722,True
0.0400,P2z_earth_new_zbo,9747.9688,True
0.0400,P3_isru_zbo,9554.3565,True
0.0400,P4_full,9747.4133,True
0.0800,P1_earth_only,7857.3800,False
0.0800,P2_earth_new,8779.8216,True
0.0800,P2z_earth_new_zbo,8729.4038,True
0.0800,P3_isru_zbo,8638.8569,True
0.0800,P4_full,8857.6091,True
0.1200,P1_earth_only,7089.1565,False
0.1200,P2_earth_new,7913.6929,True
0.1200,P2z_earth_new_zbo,7879.9620,True
0.1200,P3_isru_zbo,7869.7719,True
0.1200,P4_full,8109.3683,True
