param,value,variant,pv_cost_mln,total_cost_mln,cost_per_served_t,shortage_t,min_sl_total,min_sl_critical,hard,guideline,losses_t,violations,replanned_pv,replanned_min_sl,replanned_hard,replanned_shortage
demand_multiplier,0.8000,план без изменений,8979.9185,11107.5087,9.9888,0.0000,1.0000,1.0000,89,0,29.4922,INTRA_MONTH_PEAK@2036; INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2036; STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,6873.1875,1.0000,0,0.0000
demand_multiplier,0.8500,план без изменений,8894.7456,10994.2887,9.3054,0.0000,1.0000,1.0000,69,0,29.4922,INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,7297.9371,1.0000,0,0.0000
demand_multiplier,0.9000,план без изменений,8809.5727,10881.0687,8.6979,0.0000,1.0000,1.0000,49,0,29.4922,INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,7722.6870,1.0000,0,0.0000
demand_multiplier,0.9500,план без изменений,8724.3997,10767.8487,8.1544,0.0000,1.0000,1.0000,14,0,29.4922,INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040,8164.2360,1.0000,0,0.0000
demand_multiplier,1.0000,план без изменений,8639.2268,10654.6287,7.6652,0.0000,1.0000,1.0000,0,0,29.4922,,8639.2268,1.0000,0,0.0000
demand_multiplier,1.0500,план без изменений,8568.2301,10560.9730,7.3438,21.4174,0.9667,0.9956,6,1,29.4922,BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,9114.2167,1.0000,0,0.0000
demand_multiplier,1.1000,план без изменений,8546.7564,10535.3625,7.3260,90.9174,0.9091,0.9758,6,5,29.4922,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,9498.2421,1.0000,0,0.0000
demand_multiplier,1.1500,план без изменений,8542.0578,10530.2828,7.3224,160.4174,0.8696,0.9696,6,6,29.4922,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2036; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,9867.9203,1.0000,0,0.0000
demand_multiplier,1.2000,план без изменений,8540.3230,10528.5385,7.3212,229.9174,0.8333,0.9639,6,6,29.4922,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2036; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,10241.5057,1.0000,0,0.0000
demand_multiplier,1.2500,план без изменений,8539.4244,10527.6398,7.3206,299.4174,0.8000,0.9587,6,7,29.4922,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2035; BASE_TOTAL_SERVICE@2036; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,10618.5413,0.9745,0,12.4369
demand_multiplier,1.3000,план без изменений,8538.8744,10527.0898,7.3202,368.9174,0.7692,0.9539,6,7,29.4922,BASE_CRITICAL_SERVICE@2038; BASE_TOTAL_SERVICE@2035; BASE_TOTAL_SERVICE@2036; BASE_TOTAL_SERVICE@2037; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,10921.5021,0.9176,1,41.7920
