param,value,variant,pv_cost_mln,total_cost_mln,cost_per_served_t,shortage_t,min_sl_total,min_sl_critical,hard,guideline,losses_t,violations
isru_delivery_share_2038,0.3000,план без изменений,8587.1910,10582.9220,7.7799,29.7076,0.8812,1.0000,2,1,28.6522,BASE_TOTAL_SERVICE@2038; RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.3500,план без изменений,8587.3322,10583.0999,7.7519,24.7676,0.9009,1.0000,2,1,28.7122,BASE_TOTAL_SERVICE@2038; RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.4000,план без изменений,8587.5469,10583.3704,7.7241,19.8276,0.9207,1.0000,2,1,28.7722,BASE_TOTAL_SERVICE@2038; RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.4500,план без изменений,8587.8038,10583.6940,7.6966,14.8876,0.9404,1.0000,2,1,28.8322,BASE_TOTAL_SERVICE@2038; RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.5000,план без изменений,8588.1734,10584.1595,7.6694,9.9476,0.9602,1.0000,2,1,28.8922,BASE_TOTAL_SERVICE@2038; RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.5500,план без изменений,8588.7262,10584.8560,7.6425,5.0076,0.9800,1.0000,2,0,28.9522,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.6000,план без изменений,8589.6052,10585.9633,7.6162,0.0676,0.9997,1.0000,2,0,29.0122,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.6500,план без изменений,8595.7462,10594.4595,7.6219,0.0000,1.0000,1.0000,2,0,29.0722,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.7000,план без изменений,8601.9577,10603.0551,7.6281,0.0000,1.0000,1.0000,2,0,29.1322,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.7500,план без изменений,8608.1692,10611.6507,7.6343,0.0000,1.0000,1.0000,2,0,29.1922,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.8000,план без изменений,8614.3808,10620.2463,7.6405,0.0000,1.0000,1.0000,2,0,29.2522,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.8500,план без изменений,8620.5923,10628.8419,7.6466,0.0000,1.0000,1.0000,2,0,29.3122,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.9000,план без изменений,8626.8038,10637.4375,7.6528,0.0000,1.0000,1.0000,2,0,29.3722,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,0.9500,план без изменений,8633.0153,10646.0331,7.6590,0.0000,1.0000,1.0000,2,0,29.4322,RESERVE_45D@2039; RESERVE_45D@2040
isru_delivery_share_2038,1.0000,план без изменений,8639.2268,10654.6287,7.6652,0.0000,1.0000,1.0000,0,0,29.4922,
