param,value,variant,pv_cost_mln,total_cost_mln,cost_per_served_t,shortage_t,min_sl_total,min_sl_critical,hard,guideline,losses_t,violations
zbo_commissioning_lag_months,0,план без изменений / MANDATORY_STRESS,9031.6248,11167.3033,8.1873,170.0174,0.8125,1.0000,3,3,28.5922,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,1,план без изменений / MANDATORY_STRESS,9030.5162,11166.0015,8.1897,170.5762,0.8125,1.0000,3,3,29.1509,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,2,план без изменений / MANDATORY_STRESS,9029.4364,11164.7333,8.1921,171.1349,0.8125,1.0000,3,3,29.7097,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,3,план без изменений / MANDATORY_STRESS,9028.3853,11163.4987,8.1946,171.6937,0.8125,1.0000,3,3,30.2685,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,4,план без изменений / MANDATORY_STRESS,9027.3630,11162.2975,8.1970,172.2525,0.8125,1.0000,3,3,30.8272,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,5,план без изменений / MANDATORY_STRESS,9026.3694,11161.1299,8.1995,172.8113,0.8125,1.0000,3,3,31.3860,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,6,план без изменений / MANDATORY_STRESS,9025.4045,11159.9958,8.2021,173.3700,0.8125,1.0000,3,3,31.9448,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,7,план без изменений / MANDATORY_STRESS,9024.5471,11158.9157,8.2040,173.8149,0.8125,1.0000,3,3,32.3897,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,8,план без изменений / MANDATORY_STRESS,9023.7109,11157.8623,8.2059,174.2598,0.8125,1.0000,3,3,32.8345,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,9,план без изменений / MANDATORY_STRESS,9022.9125,11156.8565,8.2089,174.8861,0.8125,1.0000,3,3,33.4609,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
zbo_commissioning_lag_months,10,план без изменений / MANDATORY_STRESS,9022.1186,11155.8565,8.2120,175.5125,0.8125,1.0000,4,3,34.0873,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038
zbo_commissioning_lag_months,11,план без изменений / MANDATORY_STRESS,9021.3248,11154.8565,8.2150,176.1389,0.8125,1.0000,4,3,34.7136,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038
zbo_commissioning_lag_months,12,план без изменений / MANDATORY_STRESS,9020.5310,11153.8565,8.2181,176.7652,0.8125,1.0000,4,3,35.3400,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038
