scenario_id,plan_id,metric,value
BASE,P2z_earth_new_zbo_adapted,total_cost_mln,12224.320297
BASE,P2z_earth_new_zbo_adapted,pv_cost_mln,9644.846078
BASE,P2z_earth_new_zbo_adapted,discount_rate_real,0.080000
BASE,P2z_earth_new_zbo_adapted,demand_total_t,1390.000000
BASE,P2z_earth_new_zbo_adapted,served_total_t,1390.000000
BASE,P2z_earth_new_zbo_adapted,served_critical_t,950.000000
BASE,P2z_earth_new_zbo_adapted,shortage_total_t,0.000000
BASE,P2z_earth_new_zbo_adapted,shortage_critical_t,0.000000
BASE,P2z_earth_new_zbo_adapted,cost_per_served_t_mln,8.794475
BASE,P2z_earth_new_zbo_adapted,pv_cost_per_served_t_mln,6.938738
BASE,P2z_earth_new_zbo_adapted,min_service_level_total,1.000000
BASE,P2z_earth_new_zbo_adapted,min_service_level_critical,1.000000
BASE,P2z_earth_new_zbo_adapted,losses_total_t,31.120869
BASE,P2z_earth_new_zbo_adapted,throughput_total_t,1584.427000
BASE,P2z_earth_new_zbo_adapted,capex_total_mln,540.000000
BASE,P2z_earth_new_zbo_adapted,procurement_total_mln,10754.220720
BASE,P2z_earth_new_zbo_adapted,reservation_total_mln,604.827120
BASE,P2z_earth_new_zbo_adapted,holding_total_mln,283.272457
BASE,P2z_earth_new_zbo_adapted,fixed_opex_total_mln,42.000000
BASE,P2z_earth_new_zbo_adapted,take_or_pay_idle_t,0.000000
BASE,P2z_earth_new_zbo_adapted,take_or_pay_topup_mln,0.000000
BASE,P2z_earth_new_zbo_adapted,opening_inventory_t,12.328859
BASE,P2z_earth_new_zbo_adapted,closing_inventory_t,175.634990
BASE,P2z_earth_new_zbo_adapted,prep_holding_mln,0.369866
BASE,P2z_earth_new_zbo_adapted,prep_holding_months,1
BASE,P2z_earth_new_zbo_adapted,hard_violations,39
BASE,P2z_earth_new_zbo_adapted,guideline_violations,0
BASE,P2z_earth_new_zbo_adapted,warnings,0
BASE,P2z_earth_new_zbo_adapted,feasible,False
BASE,P2z_earth_new_zbo_adapted,checks_total,81
BASE,P2z_earth_new_zbo_adapted,checks_passed,77
