scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,warning,запас после поступления 120.252 т превышает ёмкость хранилища ZBO modernization 120.0 т внутри 2038-09 (до выдачи потребителям),2038,9,,120.252414,120.000000,0.252414
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,warning,запас после поступления 129.556 т превышает ёмкость хранилища ZBO modernization 120.0 т внутри 2038-10 (до выдачи потребителям),2038,10,,129.556144,120.000000,9.556144
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,warning,запас после поступления 138.860 т превышает ёмкость хранилища ZBO modernization 120.0 т внутри 2038-11 (до выдачи потребителям),2038,11,,138.859873,120.000000,18.859873
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 127.330 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2038-12,2038,12,,127.330269,120.000000,7.330269
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 134.627 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-01,2039,1,,134.627329,120.000000,14.627329
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 141.924 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-02,2039,2,,141.924389,120.000000,21.924389
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 149.221 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-03,2039,3,,149.221450,120.000000,29.221450
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 156.519 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-04,2039,4,,156.518510,120.000000,36.518510
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 163.816 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-05,2039,5,,163.815570,120.000000,43.815570
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 171.113 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-06,2039,6,,171.112630,120.000000,51.112630
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 178.410 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-07,2039,7,,178.409690,120.000000,58.409690
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 185.707 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-08,2039,8,,185.706750,120.000000,65.706750
