scenario_id,plan_id,metric,value
BASE,P3_isru_zbo_adapted,total_cost_mln,12599.578671
BASE,P3_isru_zbo_adapted,pv_cost_mln,10097.535185
BASE,P3_isru_zbo_adapted,discount_rate_real,0.080000
BASE,P3_isru_zbo_adapted,demand_total_t,1390.000000
BASE,P3_isru_zbo_adapted,served_total_t,1390.000000
BASE,P3_isru_zbo_adapted,served_critical_t,950.000000
BASE,P3_isru_zbo_adapted,shortage_total_t,0.000000
BASE,P3_isru_zbo_adapted,shortage_critical_t,0.000000
BASE,P3_isru_zbo_adapted,cost_per_served_t_mln,9.064445
BASE,P3_isru_zbo_adapted,pv_cost_per_served_t_mln,7.264414
BASE,P3_isru_zbo_adapted,min_service_level_total,1.000000
BASE,P3_isru_zbo_adapted,min_service_level_critical,1.000000
BASE,P3_isru_zbo_adapted,losses_total_t,31.900869
BASE,P3_isru_zbo_adapted,throughput_total_t,1649.427000
BASE,P3_isru_zbo_adapted,capex_total_mln,1430.000000
BASE,P3_isru_zbo_adapted,procurement_total_mln,10026.892460
BASE,P3_isru_zbo_adapted,reservation_total_mln,505.229220
BASE,P3_isru_zbo_adapted,holding_total_mln,385.456991
BASE,P3_isru_zbo_adapted,fixed_opex_total_mln,252.000000
BASE,P3_isru_zbo_adapted,take_or_pay_idle_t,0.000000
BASE,P3_isru_zbo_adapted,opening_inventory_t,12.328859
BASE,P3_isru_zbo_adapted,closing_inventory_t,239.854990
BASE,P3_isru_zbo_adapted,hard_violations,25
BASE,P3_isru_zbo_adapted,guideline_violations,0
BASE,P3_isru_zbo_adapted,warnings,3
BASE,P3_isru_zbo_adapted,feasible,False
BASE,P3_isru_zbo_adapted,checks_total,77
BASE,P3_isru_zbo_adapted,checks_passed,74
