section,metric,year,a,b,delta,label_a,label_b
kpi,total_cost_mln,,11517.764487,12811.646084,1293.881596,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,pv_cost_mln,,9142.897763,10097.471915,954.574152,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,cost_per_served_t_mln,,8.009112,8.351790,0.342678,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,pv_cost_per_served_t_mln,,6.357700,6.582446,0.224746,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,served_total_t,,1438.082586,1534.000000,95.917414,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,shortage_total_t,,95.917414,0.000000,-95.917414,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,shortage_critical_t,,0.000000,0.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,min_service_level_total,,0.869565,1.000000,0.130435,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,min_service_level_critical,,1.000000,1.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,losses_total_t,,29.492173,31.120869,1.628695,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,capex_total_mln,,540.000000,540.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,take_or_pay_idle_t,,0.000000,0.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,hard_violations,,3,0,-3,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
kpi,guideline_violations,,2,0,-2,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Demand total, t",2035,100.000000,100.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Served total, t",2035,100.000000,100.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,SL total,2035,1.000000,1.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,SL critical,2035,1.000000,1.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Shortage, t",2035,0.000000,0.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Delivered (actual), t",2035,109.876000,109.876000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Losses, t",2035,4.944420,4.944420,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,Losses/throughput,2035,0.045000,0.045000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Opening stock, t",2035,12.328859,12.328859,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Closing stock, t",2035,17.260439,17.260439,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"45-day reserve, t",2035,12.328767,12.328767,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Demand total, t",2036,140.000000,140.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Served total, t",2036,140.000000,140.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,SL total,2036,1.000000,1.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,SL critical,2036,1.000000,1.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Shortage, t",2036,0.000000,0.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Delivered (actual), t",2036,153.051800,153.051800,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Losses, t",2036,6.887331,6.887331,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,Losses/throughput,2036,0.045000,0.045000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Opening stock, t",2036,17.260439,17.260439,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Closing stock, t",2036,23.424908,23.424908,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"45-day reserve, t",2036,17.260274,17.260274,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
yearly,"Demand total, t",2037,190.000000,190.000000,0.000000,P2z_earth_new_zbo fixed/STRESS,P2z_earth_new_zbo adapted/STRESS
