section,metric,year,a,b,delta,label_a,label_b
kpi,total_cost_mln,,11167.303284,13291.585494,2124.282210,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,pv_cost_mln,,9031.624801,10636.654888,1605.030087,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,cost_per_served_t_mln,,8.187277,8.664658,0.477381,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,pv_cost_per_served_t_mln,,6.621510,6.933934,0.312424,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,served_total_t,,1363.982586,1534.000000,170.017414,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,shortage_total_t,,170.017414,0.000000,-170.017414,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,shortage_critical_t,,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,min_service_level_total,,0.812473,1.000000,0.187527,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,min_service_level_critical,,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,losses_total_t,,28.592174,31.000869,2.408695,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,capex_total_mln,,1430.000000,1430.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,take_or_pay_idle_t,,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,hard_violations,,3,0,-3,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
kpi,guideline_violations,,3,0,-3,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Demand total, t",2035,100.000000,100.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Served total, t",2035,100.000000,100.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL total,2035,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL critical,2035,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Shortage, t",2035,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Delivered (actual), t",2035,109.876000,109.876000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Losses, t",2035,4.944420,4.944420,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,Losses/throughput,2035,0.045000,0.045000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Opening stock, t",2035,12.328859,12.328859,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Closing stock, t",2035,17.260439,17.260439,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"45-day reserve, t",2035,12.328767,12.328767,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Demand total, t",2036,140.000000,140.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Served total, t",2036,140.000000,140.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL total,2036,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL critical,2036,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Shortage, t",2036,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Delivered (actual), t",2036,153.051800,153.051800,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
