section,metric,year,a,b,delta,label_a,label_b
kpi,total_cost_mln,,11278.438229,13112.751998,1834.313769,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,pv_cost_mln,,9213.750574,10578.597789,1364.847215,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,cost_per_served_t_mln,,8.268755,8.548078,0.279323,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,pv_cost_per_served_t_mln,,6.755035,6.896087,0.141052,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,served_total_t,,1363.982586,1534.000000,170.017414,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,shortage_total_t,,170.017414,0.000000,-170.017414,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,shortage_critical_t,,0.000000,0.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,min_service_level_total,,0.812473,1.000000,0.187527,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,min_service_level_critical,,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,losses_total_t,,28.592174,31.408237,2.816064,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,capex_total_mln,,1790.000000,1790.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,take_or_pay_idle_t,,0.000000,0.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,hard_violations,,3,0,-3,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
kpi,guideline_violations,,3,0,-3,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Спрос, т",2035,100.000000,100.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Обслужено, т",2035,100.000000,100.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса общий,2035,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса критический,2035,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Дефицит, т",2035,0.000000,0.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Поступление (факт), т",2035,109.876000,109.876000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Потери, т",2035,4.944420,4.944420,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Потери / поступление,2035,0.045000,0.045000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на начало, т",2035,12.328859,12.328859,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на конец, т",2035,17.260439,17.260439,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"45-дневный резерв, т",2035,12.328767,12.328767,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Спрос, т",2036,140.000000,140.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Обслужено, т",2036,140.000000,140.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса общий,2036,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса критический,2036,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Дефицит, т",2036,0.000000,0.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Поступление (факт), т",2036,153.051800,153.051800,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Потери, т",2036,6.887331,6.887331,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Потери / поступление,2036,0.045000,0.045000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на начало, т",2036,17.260439,17.260439,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на конец, т",2036,23.424908,23.424908,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"45-дневный резерв, т",2036,17.260274,17.260274,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Спрос, т",2037,190.000000,190.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Обслужено, т",2037,190.000000,190.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса общий,2037,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса критический,2037,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Дефицит, т",2037,0.000000,0.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Поступление (факт), т",2037,203.188200,207.947100,4.758900,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Потери, т",2037,5.790864,5.926492,0.135629,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Потери / поступление,2037,0.028500,0.028500,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на начало, т",2037,23.424908,23.424908,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на конец, т",2037,30.822244,35.445516,4.623271,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"45-дневный резерв, т",2037,23.424658,23.424658,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Спрос, т",2038,287.500000,287.500000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Обслужено, т",2038,244.992388,287.500000,42.507612,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса общий,2038,0.852147,1.000000,0.147853,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса критический,2038,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Дефицит, т",2038,42.507612,0.000000,-42.507612,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Поступление (факт), т",2038,216.771400,301.037200,84.265800,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Потери, т",2038,2.601257,3.612446,1.011190,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Потери / поступление,2038,0.012000,0.012000,-0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на начало, т",2038,30.822244,35.445516,4.623271,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на конец, т",2038,0.000000,45.370269,45.370269,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"45-дневный резерв, т",2038,35.445205,35.445205,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Спрос, т",2039,368.000000,368.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Обслужено, т",2039,298.990141,368.000000,69.009859,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса общий,2039,0.812473,1.000000,0.187527,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса критический,2039,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Дефицит, т",2039,69.009859,0.000000,-69.009859,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Поступление (факт), т",2039,302.621600,382.514900,79.893300,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Потери, т",2039,3.631459,4.590179,0.958720,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Потери / поступление,2039,0.012000,0.012000,-0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на начало, т",2039,0.000000,45.370269,45.370269,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Запас на конец, т",2039,0.000000,55.294990,55.294990,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"45-дневный резерв, т",2039,45.369863,45.369863,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Спрос, т",2040,448.500000,448.500000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Обслужено, т",2040,390.000057,448.500000,58.499943,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса общий,2040,0.869565,1.000000,0.130435,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,Уровень сервиса критический,2040,1.000000,1.000000,0.000000,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Дефицит, т",2040,58.499943,0.000000,-58.499943,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Поступление (факт), т",2040,394.736900,453.947400,59.210500,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
yearly,"Потери, т",2040,4.736843,5.447369,0.710526,P4_full без изменений/STRESS,P4_full адаптированный/STRESS
