scenario_id,plan_id,metric,value
BASE,P2z_earth_new_zbo,total_cost_mln,11006.598494
BASE,P2z_earth_new_zbo,pv_cost_mln,8752.041901
BASE,P2z_earth_new_zbo,discount_rate_real,0.080000
BASE,P2z_earth_new_zbo,demand_total_t,1390.000000
BASE,P2z_earth_new_zbo,served_total_t,1390.000000
BASE,P2z_earth_new_zbo,served_critical_t,950.000000
BASE,P2z_earth_new_zbo,shortage_total_t,0.000000
BASE,P2z_earth_new_zbo,shortage_critical_t,0.000000
BASE,P2z_earth_new_zbo,cost_per_served_t_mln,7.918416
BASE,P2z_earth_new_zbo,pv_cost_per_served_t_mln,6.296433
BASE,P2z_earth_new_zbo,min_service_level_total,1.000000
BASE,P2z_earth_new_zbo,min_service_level_critical,1.000000
BASE,P2z_earth_new_zbo,losses_total_t,33.002762
BASE,P2z_earth_new_zbo,throughput_total_t,1458.756644
BASE,P2z_earth_new_zbo,capex_total_mln,540.000000
BASE,P2z_earth_new_zbo,procurement_total_mln,9714.999012
BASE,P2z_earth_new_zbo,reservation_total_mln,579.372832
BASE,P2z_earth_new_zbo,holding_total_mln,136.226651
BASE,P2z_earth_new_zbo,fixed_opex_total_mln,36.000000
BASE,P2z_earth_new_zbo,take_or_pay_idle_t,0.000000
BASE,P2z_earth_new_zbo,take_or_pay_topup_mln,0.000000
BASE,P2z_earth_new_zbo,opening_inventory_t,12.328859
BASE,P2z_earth_new_zbo,closing_inventory_t,48.082741
BASE,P2z_earth_new_zbo,prep_holding_mln,0.369866
BASE,P2z_earth_new_zbo,prep_holding_months,1
BASE,P2z_earth_new_zbo,hard_violations,0
BASE,P2z_earth_new_zbo,guideline_violations,0
BASE,P2z_earth_new_zbo,warnings,0
BASE,P2z_earth_new_zbo,feasible,True
BASE,P2z_earth_new_zbo,checks_total,83
BASE,P2z_earth_new_zbo,checks_passed,83
