plan_id,scenario_id,feasible,hard_violations,guideline_violations,total_cost_mln,pv_cost_mln,cost_per_served_t_mln,pv_cost_per_served_t_mln,capex_total_mln,procurement_total_mln,reservation_total_mln,holding_total_mln,fixed_opex_total_mln,served_total_t,shortage_total_t,shortage_critical_t,min_sl_total,min_sl_critical,losses_total_t,take_or_pay_idle_t,violations,experiment,plan,scenario,delay_months,measure,flex_t,delta_pv_mln,premium_no_delay_mln
P2z_earth_new_zbo,BASE,True,0,0,10980.6247,8729.7736,7.8997,6.2804,540.0000,9683.7534,578.8462,136.0251,42.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,0,ввод в срок (эталон),0.0000,0.0000,0.0000
P2z_earth_new_zbo,BASE,False,3,0,10973.5513,8724.1469,7.8946,6.2764,540.0000,9683.7534,578.8462,131.9517,39.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,31.1685,0.0000,RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-17,P2z_earth_new_zbo,BASE,3,без мер,0.0000,-5.6267,0.0000
P2z_earth_new_zbo,BASE,True,0,0,10993.2598,8740.6060,7.9088,6.2882,540.0000,9699.1807,579.1062,135.9729,39.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,31.2250,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,3,реакция: Earth-Flex после наблюдения,1.7334,10.8324,0.0000
P2z_earth_new_zbo,BASE,True,0,0,10980.6247,8729.7736,7.8997,6.2804,540.0000,9683.7534,578.8462,136.0251,42.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,3,заранее: решение о ZBO раньше,0.0000,0.0000,5.8854
P2z_earth_new_zbo,BASE,False,3,0,10966.7796,8718.7789,7.8898,6.2725,540.0000,9683.7534,578.8462,128.1800,36.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,32.8448,0.0000,RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-17,P2z_earth_new_zbo,BASE,6,без мер,0.0000,-10.9947,0.0000
P2z_earth_new_zbo,BASE,True,0,0,11006.5985,8752.0419,7.9184,6.2964,540.0000,9714.9990,579.3728,136.2267,36.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,33.0028,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,6,реакция: Earth-Flex после наблюдения,3.5107,22.2683,0.0000
P2z_earth_new_zbo,BASE,True,0,0,10980.6247,8729.7736,7.8997,6.2804,540.0000,9683.7534,578.8462,136.0251,42.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,6,заранее: решение о ZBO раньше,0.0000,0.0000,12.0295
P2z_earth_new_zbo,BASE,False,3,0,10952.2276,8707.7620,7.8793,6.2646,540.0000,9683.7534,578.8462,119.6280,30.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,37.1640,0.0000,RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-17,P2z_earth_new_zbo,BASE,12,без мер,0.0000,-22.0116,0.0000
P2z_earth_new_zbo,BASE,True,0,0,11043.3401,8783.8737,7.9448,6.3193,540.0000,9755.2489,580.0512,138.0400,30.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,37.5255,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,12,реакция: Earth-Flex после наблюдения,8.0332,54.1000,0.0000
P2z_earth_new_zbo,BASE,True,0,0,10980.6247,8742.1193,7.8997,6.2893,540.0000,9683.7534,578.8462,136.0251,42.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,29.4922,0.0000,,EXP-17,P2z_earth_new_zbo,BASE,12,заранее: решение о ZBO раньше,0.0000,12.3457,35.9278
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12812.0159,10097.8418,8.3520,6.5827,540.0000,11482.3164,604.8271,142.8725,42.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.1209,0.0000,,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,0,ввод в срок (эталон),0.0000,0.0000,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,False,3,0,12804.8471,10092.1435,8.3474,6.5790,540.0000,11482.3164,604.8271,138.7036,39.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,32.8364,0.0000,RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,3,без мер,0.0000,-5.6983,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12825.0109,10108.9828,8.3605,6.5899,540.0000,11498.1000,605.0931,142.8177,39.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,32.8943,0.0000,,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,3,реакция: Earth-Flex после наблюдения,1.7734,11.1410,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12812.0159,10097.8418,8.3520,6.5827,540.0000,11482.3164,604.8271,142.8725,42.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.1209,0.0000,,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,3,заранее: решение о ZBO раньше,0.0000,0.0000,5.9630
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,False,3,0,12797.9871,10086.7100,8.3429,6.5754,540.0000,11482.3164,604.8271,134.8436,36.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,34.5520,0.0000,RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,6,без мер,0.0000,-11.1318,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12838.7364,10120.7502,8.3695,6.5976,540.0000,11514.2921,605.3660,143.0783,36.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,34.7137,0.0000,,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,6,реакция: Earth-Flex после наблюдения,3.5928,22.9085,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12812.0159,10097.8418,8.3520,6.5827,540.0000,11482.3164,604.8271,142.8725,42.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.1209,0.0000,,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,6,заранее: решение о ZBO раньше,0.0000,0.0000,12.1908
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,False,4,0,12782.1522,10074.7551,8.3326,6.5676,540.0000,11482.3164,604.8271,125.0087,30.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,39.5191,0.0000,RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040; STRESS_LOSS_LIMIT@2038,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,12,без мер,0.0000,-23.0867,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,False,84,0,14029.7722,11116.9647,9.1459,7.2470,540.0000,12461.3164,621.3271,377.1287,30.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,44.4691,0.0000,INTRA_MONTH_PEAK@2037; INTRA_MONTH_PEAK@2038; INTRA_MONTH_PEAK@2039; INTRA_MONTH_PEAK@2040; STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040; STRESS_LOSS_LIMIT@2038,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,12,реакция: Earth-Flex после наблюдения,nan,1019.1229,0.0000
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12812.0159,10110.1875,8.3520,6.5907,540.0000,11482.3164,604.8271,142.8725,42.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.1209,0.0000,,EXP-17,P2z_earth_new_zbo_adapted,MANDATORY_STRESS,12,заранее: решение о ZBO раньше,0.0000,12.3457,36.0891
